,timestamp,item_id,spend,target_value
8351,11/30/2018 17:00,2.38433e+16,104.33,0
8086,11/30/2018 17:00,2.38433e+16,359.49,0
8033,11/4/2018 0:00,2.38433e+16,651.51,0
7715,11/4/2018 0:00,2.38433e+16,111.4,0
8298,11/4/2018 0:00,2.38433e+16,106.67,0
8034,11/4/2018 17:00,2.38433e+16,628.57,0
7716,11/4/2018 17:00,2.38433e+16,106.2,0
8299,11/4/2018 17:00,2.38433e+16,106.42,0
8035,11/5/2018 0:00,2.38433e+16,628.57,0
8300,11/5/2018 0:00,2.38433e+16,106.42,0
7717,11/5/2018 0:00,2.38433e+16,106.2,0
8301,11/5/2018 17:00,2.38433e+16,148.08,0
7718,11/5/2018 17:00,2.38433e+16,103.3,0
8036,11/5/2018 17:00,2.38433e+16,599.0,0
7719,11/6/2018 0:00,2.38433e+16,103.3,0
8037,11/6/2018 0:00,2.38433e+16,599.0,0
8302,11/6/2018 0:00,2.38433e+16,148.08,0
7720,11/6/2018 17:00,2.38433e+16,107.95,0
8038,11/6/2018 17:00,2.38433e+16,574.56,0
8303,11/6/2018 17:00,2.38433e+16,373.01,0
8039,11/7/2018 0:00,2.38433e+16,574.56,0
7721,11/7/2018 0:00,2.38433e+16,107.95,0
8304,11/7/2018 0:00,2.38433e+16,373.01,0
7722,11/7/2018 17:00,2.38433e+16,105.99,0
8305,11/7/2018 17:00,2.38433e+16,365.34,0
8040,11/7/2018 17:00,2.38433e+16,562.48,0
7723,11/8/2018 0:00,2.38433e+16,105.99,0
8041,11/8/2018 0:00,2.38433e+16,562.48,0
8306,11/8/2018 0:00,2.38433e+16,365.34,0
7724,11/8/2018 17:00,2.38433e+16,113.73,0
8307,11/8/2018 17:00,2.38433e+16,370.54,0
8042,11/8/2018 17:00,2.38433e+16,609.07,0
7725,11/9/2018 0:00,2.38433e+16,113.73,0
8043,11/9/2018 0:00,2.38433e+16,609.07,0
8308,11/9/2018 0:00,2.38433e+16,370.54,0
8044,11/9/2018 17:00,2.38433e+16,602.26,0
7726,11/9/2018 17:00,2.38433e+16,107.43,0
8309,11/9/2018 17:00,2.38433e+16,384.23,0
7769,12/1/2018 0:00,2.38433e+16,93.88,0
8087,12/1/2018 0:00,2.38433e+16,359.49,0
8352,12/1/2018 0:00,2.38433e+16,104.33,0
7770,12/1/2018 17:00,2.38433e+16,98.38,0
8353,12/1/2018 17:00,2.38433e+16,103.38,0
8088,12/1/2018 17:00,2.38433e+16,405.45,0
7787,12/10/2018 0:00,2.38433e+16,101.44,0
8370,12/10/2018 0:00,2.38433e+16,111.68,0
8105,12/10/2018 0:00,2.38433e+16,779.69,0
8371,12/10/2018 17:00,2.38433e+16,103.26,0
7788,12/10/2018 17:00,2.38433e+16,98.6,0
8106,12/10/2018 17:00,2.38433e+16,678.03,0
8107,12/11/2018 0:00,2.38433e+16,678.03,0
8372,12/11/2018 0:00,2.38433e+16,103.26,0
7789,12/11/2018 0:00,2.38433e+16,98.6,0
7790,12/11/2018 17:00,2.38433e+16,101.54,0
8108,12/11/2018 17:00,2.38433e+16,655.82,0
8373,12/11/2018 17:00,2.38433e+16,100.26,0
7791,12/12/2018 0:00,2.38433e+16,101.54,0
8374,12/12/2018 0:00,2.38433e+16,100.26,0
8109,12/12/2018 0:00,2.38433e+16,655.82,0
8375,12/12/2018 17:00,2.38433e+16,116.9,0
8110,12/12/2018 17:00,2.38433e+16,684.27,0
7792,12/12/2018 17:00,2.38433e+16,98.83,0
7793,12/13/2018 0:00,2.38433e+16,98.83,0
8376,12/13/2018 0:00,2.38433e+16,116.9,0
8111,12/13/2018 0:00,2.38433e+16,684.27,0
8377,12/13/2018 17:00,2.38433e+16,111.1,0
7794,12/13/2018 17:00,2.38433e+16,97.11,0
8112,12/13/2018 17:00,2.38433e+16,685.95,0
8113,12/14/2018 0:00,2.38433e+16,685.95,0
8378,12/14/2018 0:00,2.38433e+16,111.1,0
7795,12/14/2018 0:00,2.38433e+16,97.11,0
7796,12/14/2018 17:00,2.38433e+16,99.76,0
8379,12/14/2018 17:00,2.38433e+16,107.15,0
