20190901 204300;1.098900;1.098940;1.098890;1.098920;0
20190901 204400;1.098910;1.098950;1.098880;1.098940;0
20190901 204500;1.098920;1.098960;1.098920;1.098940;0
20190901 204600;1.098940;1.098950;1.098860;1.098860;0
20190901 204700;1.098860;1.098970;1.098860;1.098970;0
20190901 204800;1.098970;1.099090;1.098970;1.099070;0
20190901 204900;1.099050;1.099050;1.098950;1.098950;0
20190901 205000;1.098960;1.099030;1.098960;1.099000;0
20190901 205100;1.099010;1.099060;1.099010;1.099050;0
20190901 205200;1.099050;1.099050;1.098960;1.098960;0
20190901 205300;1.098960;1.098960;1.098810;1.098850;0
20190901 205400;1.098850;1.098850;1.098640;1.098720;0
20190901 205500;1.098750;1.098810;1.098730;1.098750;0
20190901 205600;1.098730;1.098790;1.098650;1.098740;0
20190901 205700;1.098740;1.098740;1.098690;1.098710;0
20190901 205800;1.098710;1.098710;1.098690;1.098700;0
20190901 205900;1.098700;1.098780;1.098690;1.098750;0
20190901 210000;1.098740;1.098820;1.098740;1.098780;0
20190901 210100;1.098780;1.098840;1.098780;1.098830;0
20190901 210200;1.098830;1.098830;1.098830;1.098830;0
20190901 210300;1.098820;1.098820;1.098740;1.098740;0
20190901 210400;1.098760;1.098770;1.098630;1.098660;0
20190901 210500;1.098670;1.098670;1.098630;1.098640;0
20190901 210600;1.098620;1.098620;1.098560;1.098580;0
20190901 210700;1.098560;1.098580;1.098450;1.098470;0
20190901 210800;1.098490;1.098490;1.098480;1.098490;0
20190901 210900;1.098490;1.098550;1.098490;1.098550;0
20190901 211000;1.098550;1.098550;1.098530;1.098550;0
20190901 211100;1.098550;1.098660;1.098550;1.098650;0
20190901 211200;1.098650;1.098650;1.098550;1.098560;0
20190901 211300;1.098560;1.098580;1.098560;1.098560;0
20190901 211400;1.098580;1.098620;1.098550;1.098610;0
20190901 211500;1.098630;1.098710;1.098630;1.098710;0
20190901 211600;1.098700;1.098790;1.098690;1.098740;0
20190901 211700;1.098730;1.098740;1.098660;1.098700;0
20190901 211800;1.098730;1.098830;1.098730;1.098760;0
20190901 211900;1.098760;1.098830;1.098760;1.098810;0
20190901 212000;1.098810;1.098840;1.098790;1.098810;0
20190901 212100;1.098790;1.098790;1.098780;1.098790;0
20190901 212200;1.098790;1.098810;1.098790;1.098800;0
20190901 212300;1.098800;1.098860;1.098790;1.098860;0
20190901 212400;1.098870;1.098910;1.098850;1.098910;0
20190901 212500;1.098910;1.098920;1.098910;1.098910;0
20190901 212600;1.098920;1.098990;1.098910;1.098990;0
20190901 212700;1.098980;1.099020;1.098980;1.099010;0
20190901 212800;1.099010;1.099060;1.098990;1.099000;0
20190901 212900;1.098990;1.099110;1.098990;1.099050;0
20190901 213000;1.099030;1.099090;1.099010;1.099080;0
20190901 213100;1.099090;1.099130;1.099080;1.099080;0
20190901 213200;1.099080;1.099150;1.099070;1.099140;0
